Station,Crime_Category,sum
Selosesha,Driving under the influence of alcohol or drugs,324.0
Selosesha,Illegal possession of firearms and ammunition,65.0
Selosesha,Carjacking,17.0
Selosesha,Truck hijacking,6.0
Selosesha,Robbery of cash in transit,0.0
Selosesha,Bank robbery,0.0
Selosesha,Robbery at residential premises,104.0
Selosesha,Robbery at non-residential premises,176.0
Selosesha,Attempted sexual offences,49.0
Selosesha,Contact sexual offences,4.0
Selosesha,Sexual offences detected as a result of police action,0.0
Selosesha,Sexual offences,819.0
Selosesha,TRIO crime,297.0
Selosesha,Contact crime (Crimes against the person),7361.0
Selosesha,Contact-related crime,1257.0
Selosesha,Property-related crime,4184.0
Selosesha,Other serious crime,1727.0
Selosesha,Crime detected as a result of police action,1233.0
Selosesha,17 Community reported serious crime,14529.0
Soutpan,Murder,11.0
Soutpan,Attempted murder,17.0
Soutpan,Robbery with aggravating circumstances,16.0
Soutpan,Common robbery,4.0
Soutpan,Rape,46.0
Soutpan,Sexual assault,9.0
Soutpan,Kidnapping,1.0
Soutpan,Assault with the intent to inflict grievous bodily harm,174.0
Soutpan,Common assault,152.0
Soutpan,Burglary at non-residential premises,37.0
Soutpan,Burglary at residential premises,88.0
Soutpan,Stock-theft,200.0
Soutpan,Shoplifting,0.0
Soutpan,Theft of motor vehicle and motorcycle,4.0
Soutpan,Theft out of or from motor vehicle,9.0
Soutpan,All theft not mentioned elsewhere,118.0
Soutpan,Arson,5.0
Soutpan,Malicious damage to property,57.0
Soutpan,Commercial crime,12.0
Soutpan,Drug-related crime,155.0
Soutpan,Driving under the influence of alcohol or drugs,12.0
Soutpan,Illegal possession of firearms and ammunition,10.0
Soutpan,Carjacking,1.0
Soutpan,Truck hijacking,0.0
Soutpan,Robbery of cash in transit,0.0
Soutpan,Bank robbery,0.0
Soutpan,Robbery at residential premises,3.0
Soutpan,Robbery at non-residential premises,8.0
Soutpan,Attempted sexual offences,3.0
Soutpan,Contact sexual offences,2.0
Soutpan,Sexual offences detected as a result of police action,0.0
Soutpan,Sexual offences,60.0
Soutpan,TRIO crime,12.0
Soutpan,Contact crime (Crimes against the person),434.0
Soutpan,Contact-related crime,62.0
Soutpan,Property-related crime,338.0
Soutpan,Other serious crime,130.0
Soutpan,Crime detected as a result of police action,177.0
Soutpan,17 Community reported serious crime,964.0
Thaba-Nchu,Murder,75.0
Thaba-Nchu,Attempted murder,60.0
Thaba-Nchu,Robbery with aggravating circumstances,239.0
Thaba-Nchu,Common robbery,113.0
Thaba-Nchu,Rape,141.0
Thaba-Nchu,Sexual assault,22.0
Thaba-Nchu,Kidnapping,16.0
Thaba-Nchu,Assault with the intent to inflict grievous bodily harm,883.0
Thaba-Nchu,Common assault,532.0
Thaba-Nchu,Burglary at non-residential premises,389.0
Thaba-Nchu,Burglary at residential premises,398.0
Thaba-Nchu,Stock-theft,498.0
Thaba-Nchu,Shoplifting,524.0
Thaba-Nchu,Theft of motor vehicle and motorcycle,31.0
Thaba-Nchu,Theft out of or from motor vehicle,138.0
Thaba-Nchu,All theft not mentioned elsewhere,695.0
Thaba-Nchu,Arson,9.0
Thaba-Nchu,Malicious damage to property,317.0
Thaba-Nchu,Commercial crime,442.0
Thaba-Nchu,Drug-related crime,387.0
Thaba-Nchu,Driving under the influence of alcohol or drugs,154.0
Thaba-Nchu,Illegal possession of firearms and ammunition,32.0
Thaba-Nchu,Carjacking,19.0
Thaba-Nchu,Truck hijacking,0.0
Thaba-Nchu,Robbery of cash in transit,1.0
Thaba-Nchu,Bank robbery,0.0
Thaba-Nchu,Robbery at residential premises,33.0
Thaba-Nchu,Robbery at non-residential premises,89.0
Thaba-Nchu,Attempted sexual offences,16.0
Thaba-Nchu,Contact sexual offences,8.0
Thaba-Nchu,Sexual offences detected as a result of police action,1.0
Thaba-Nchu,Sexual offences,187.0
Thaba-Nchu,TRIO crime,141.0
Thaba-Nchu,Contact crime (Crimes against the person),2089.0
Thaba-Nchu,Contact-related crime,326.0
Thaba-Nchu,Property-related crime,1454.0
Thaba-Nchu,Other serious crime,1661.0
Thaba-Nchu,Crime detected as a result of police action,574.0
Thaba-Nchu,17 Community reported serious crime,5530.0
Tierpoort,Murder,11.0
Tierpoort,Attempted murder,17.0
Tierpoort,Robbery with aggravating circumstances,24.0
Tierpoort,Common robbery,0.0
Tierpoort,Rape,25.0
Tierpoort,Sexual assault,2.0
Tierpoort,Kidnapping,1.0
Tierpoort,Assault with the intent to inflict grievous bodily harm,88.0
Tierpoort,Common assault,79.0
Tierpoort,Burglary at non-residential premises,16.0
Tierpoort,Burglary at residential premises,60.0
Tierpoort,Stock-theft,238.0
Tierpoort,Shoplifting,1.0
Tierpoort,Theft of motor vehicle and motorcycle,8.0
Tierpoort,Theft out of or from motor vehicle,24.0
Tierpoort,All theft not mentioned elsewhere,155.0
Tierpoort,Arson,2.0
Tierpoort,Malicious damage to property,28.0
Tierpoort,Commercial crime,16.0
Tierpoort,Drug-related crime,40.0
Tierpoort,Driving under the influence of alcohol or drugs,11.0
Tierpoort,Illegal possession of firearms and ammunition,5.0
Tierpoort,Carjacking,3.0
Tierpoort,Truck hijacking,4.0
Tierpoort,Robbery of cash in transit,0.0
Tierpoort,Bank robbery,0.0
Tierpoort,Robbery at residential premises,2.0
Tierpoort,Robbery at non-residential premises,4.0
Tierpoort,Attempted sexual offences,0.0
Tierpoort,Contact sexual offences,1.0
Tierpoort,Sexual offences detected as a result of police action,0.0
Tierpoort,Sexual offences,28.0
Tierpoort,TRIO crime,9.0
Tierpoort,Contact crime (Crimes against the person),247.0
Tierpoort,Contact-related crime,30.0
Tierpoort,Property-related crime,346.0
Tierpoort,Other serious crime,172.0
Tierpoort,Crime detected as a result of police action,56.0
Tierpoort,17 Community reported serious crime,795.0
Van Stadensrus,Murder,11.0
Van Stadensrus,Attempted murder,9.0
Van Stadensrus,Robbery with aggravating circumstances,19.0
Van Stadensrus,Common robbery,2.0
Van Stadensrus,Rape,21.0
Van Stadensrus,Sexual assault,2.0
Van Stadensrus,Kidnapping,1.0
Van Stadensrus,Assault with the intent to inflict grievous bodily harm,129.0
Van Stadensrus,Common assault,126.0
Van Stadensrus,Burglary at non-residential premises,20.0
Van Stadensrus,Burglary at residential premises,79.0
Van Stadensrus,Stock-theft,160.0
Van Stadensrus,Shoplifting,1.0
Van Stadensrus,Theft of motor vehicle and motorcycle,8.0
Van Stadensrus,Theft out of or from motor vehicle,8.0
Van Stadensrus,All theft not mentioned elsewhere,90.0
Van Stadensrus,Arson,2.0
Van Stadensrus,Malicious damage to property,49.0
Van Stadensrus,Commercial crime,10.0
Van Stadensrus,Drug-related crime,40.0
Van Stadensrus,Driving under the influence of alcohol or drugs,8.0
Van Stadensrus,Illegal possession of firearms and ammunition,1.0
Van Stadensrus,Carjacking,0.0
Van Stadensrus,Truck hijacking,0.0
Van Stadensrus,Robbery of cash in transit,0.0
Van Stadensrus,Bank robbery,0.0
Van Stadensrus,Robbery at residential premises,9.0
Van Stadensrus,Robbery at non-residential premises,5.0
Van Stadensrus,Attempted sexual offences,0.0
Van Stadensrus,Contact sexual offences,0.0
Van Stadensrus,Sexual offences detected as a result of police action,25.0
Van Stadensrus,Sexual offences,23.0
Van Stadensrus,TRIO crime,14.0
Van Stadensrus,Contact crime (Crimes against the person),319.0
Van Stadensrus,Contact-related crime,51.0
Van Stadensrus,Property-related crime,275.0
Van Stadensrus,Other serious crime,101.0
Van Stadensrus,Crime detected as a result of police action,74.0
Van Stadensrus,17 Community reported serious crime,746.0
Wepener,Murder,51.0
Wepener,Attempted murder,56.0
Wepener,Robbery with aggravating circumstances,144.0
Wepener,Common robbery,16.0
Wepener,Rape,82.0
Wepener,Sexual assault,8.0
Wepener,Kidnapping,18.0
Wepener,Assault with the intent to inflict grievous bodily harm,483.0
Wepener,Common assault,382.0
Wepener,Burglary at non-residential premises,225.0
Wepener,Burglary at residential premises,412.0
Wepener,Stock-theft,330.0
Wepener,Shoplifting,18.0
Wepener,Theft of motor vehicle and motorcycle,36.0
Wepener,Theft out of or from motor vehicle,45.0
Wepener,All theft not mentioned elsewhere,344.0
Wepener,Arson,22.0
Wepener,Malicious damage to property,217.0
Wepener,Commercial crime,135.0
Wepener,Drug-related crime,215.0
Wepener,Driving under the influence of alcohol or drugs,47.0
Wepener,Illegal possession of firearms and ammunition,76.0
Wepener,Carjacking,4.0
Wepener,Truck hijacking,3.0
Wepener,Robbery of cash in transit,0.0
Wepener,Bank robbery,0.0
Wepener,Robbery at residential premises,55.0
Wepener,Robbery at non-residential premises,55.0
Wepener,Attempted sexual offences,7.0
Wepener,Contact sexual offences,2.0
Wepener,Sexual offences detected as a result of police action,0.0
Wepener,Sexual offences,99.0
Wepener,TRIO crime,114.0
Wepener,Contact crime (Crimes against the person),1231.0
Wepener,Contact-related crime,239.0
Wepener,Property-related crime,1048.0
Wepener,Other serious crime,497.0
Wepener,Crime detected as a result of police action,338.0
Wepener,17 Community reported serious crime,3015.0
Arlington,Murder,7.0
Arlington,Attempted murder,2.0
Arlington,Robbery with aggravating circumstances,12.0
Arlington,Common robbery,5.0
Arlington,Rape,31.0
Arlington,Sexual assault,6.0
Arlington,Kidnapping,2.0
Arlington,Assault with the intent to inflict grievous bodily harm,146.0
Arlington,Common assault,164.0
Arlington,Burglary at non-residential premises,64.0
Arlington,Burglary at residential premises,92.0
Arlington,Stock-theft,187.0
Arlington,Shoplifting,0.0
Arlington,Theft of motor vehicle and motorcycle,7.0
Arlington,Theft out of or from motor vehicle,6.0
Arlington,All theft not mentioned elsewhere,166.0
Arlington,Arson,0.0
Arlington,Malicious damage to property,65.0
Arlington,Commercial crime,21.0
Arlington,Drug-related crime,193.0
Arlington,Driving under the influence of alcohol or drugs,77.0
Arlington,Illegal possession of firearms and ammunition,6.0
Arlington,Carjacking,1.0
Arlington,Truck hijacking,1.0
Arlington,Robbery of cash in transit,0.0
Arlington,Bank robbery,0.0
Arlington,Robbery at residential premises,2.0
Arlington,Robbery at non-residential premises,6.0
Arlington,Attempted sexual offences,4.0
Arlington,Contact sexual offences,2.0
Arlington,Sexual offences detected as a result of police action,15.0
Arlington,Sexual offences,43.0
Arlington,TRIO crime,9.0
Arlington,Contact crime (Crimes against the person),379.0
Arlington,Contact-related crime,65.0
Arlington,Property-related crime,356.0
Arlington,Other serious crime,187.0
Arlington,Crime detected as a result of police action,291.0
Arlington,17 Community reported serious crime,987.0
Bethlehem,Murder,171.0
Bethlehem,Attempted murder,210.0
Bethlehem,Robbery with aggravating circumstances,1023.0
Bethlehem,Common robbery,569.0
Bethlehem,Rape,653.0
Bethlehem,Sexual assault,153.0
Bethlehem,Kidnapping,131.0
Bethlehem,Assault with the intent to inflict grievous bodily harm,2444.0
Bethlehem,Common assault,4633.0
Bethlehem,Burglary at non-residential premises,1596.0
Bethlehem,Burglary at residential premises,3277.0
Bethlehem,Stock-theft,892.0
Bethlehem,Shoplifting,1261.0
Bethlehem,Theft of motor vehicle and motorcycle,623.0
Bethlehem,Theft out of or from motor vehicle,2047.0
Bethlehem,All theft not mentioned elsewhere,4496.0
Bethlehem,Arson,61.0
Bethlehem,Malicious damage to property,2214.0
Bethlehem,Commercial crime,2694.0
Bethlehem,Drug-related crime,1233.0
Bethlehem,Driving under the influence of alcohol or drugs,745.0
Bethlehem,Illegal possession of firearms and ammunition,75.0
Bethlehem,Carjacking,34.0
Bethlehem,Truck hijacking,16.0
Bethlehem,Robbery of cash in transit,7.0
Bethlehem,Bank robbery,0.0
Bethlehem,Robbery at residential premises,112.0
Bethlehem,Robbery at non-residential premises,217.0
Bethlehem,Attempted sexual offences,47.0
Bethlehem,Contact sexual offences,32.0
Bethlehem,Sexual offences detected as a result of police action,1436.0
Bethlehem,Sexual offences,885.0
Bethlehem,TRIO crime,363.0
Bethlehem,Contact crime (Crimes against the person),9935.0
Bethlehem,Contact-related crime,2275.0
Bethlehem,Property-related crime,8435.0
Bethlehem,Other serious crime,8451.0
Bethlehem,Crime detected as a result of police action,3489.0
Bethlehem,17 Community reported serious crime,29096.0
Bohlokong,Murder,108.0
Bohlokong,Attempted murder,78.0
Bohlokong,Robbery with aggravating circumstances,273.0
Bohlokong,Common robbery,190.0
Bohlokong,Rape,304.0
Bohlokong,Sexual assault,31.0
Bohlokong,Kidnapping,47.0
Bohlokong,Assault with the intent to inflict grievous bodily harm,1303.0
Bohlokong,Common assault,1732.0
Bohlokong,Burglary at non-residential premises,251.0
Bohlokong,Burglary at residential premises,1238.0
Bohlokong,Stock-theft,199.0
Bohlokong,Shoplifting,3.0
Bohlokong,Theft of motor vehicle and motorcycle,39.0
Bohlokong,Theft out of or from motor vehicle,376.0
Bohlokong,All theft not mentioned elsewhere,1189.0
Bohlokong,Arson,14.0
Bohlokong,Malicious damage to property,866.0
Bohlokong,Commercial crime,217.0
Bohlokong,Drug-related crime,585.0
Bohlokong,Driving under the influence of alcohol or drugs,222.0
Bohlokong,Illegal possession of firearms and ammunition,32.0
Bohlokong,Carjacking,0.0
Bohlokong,Truck hijacking,0.0
Bohlokong,Robbery of cash in transit,0.0
Bohlokong,Bank robbery,0.0
Bohlokong,Robbery at residential premises,28.0
Bohlokong,Robbery at non-residential premises,29.0
Bohlokong,Attempted sexual offences,21.0
Bohlokong,Contact sexual offences,6.0
Bohlokong,Sexual offences detected as a result of police action,152.0
Bohlokong,Sexual offences,362.0
Bohlokong,TRIO crime,57.0
Bohlokong,Contact crime (Crimes against the person),4046.0
Bohlokong,Contact-related crime,880.0
Bohlokong,Property-related crime,2103.0
Bohlokong,Other serious crime,1409.0
Bohlokong,Crime detected as a result of police action,991.0
Bohlokong,17 Community reported serious crime,8438.0
Clarens,Murder,14.0
Clarens,Attempted murder,14.0
Clarens,Robbery with aggravating circumstances,31.0
Clarens,Common robbery,17.0
Clarens,Rape,65.0
Clarens,Sexual assault,18.0
Clarens,Kidnapping,2.0
Clarens,Assault with the intent to inflict grievous bodily harm,248.0
Clarens,Common assault,326.0
Clarens,Burglary at non-residential premises,148.0
Clarens,Burglary at residential premises,204.0
Clarens,Stock-theft,259.0
Clarens,Shoplifting,3.0
Clarens,Theft of motor vehicle and motorcycle,104.0
Clarens,Theft out of or from motor vehicle,48.0
Clarens,All theft not mentioned elsewhere,308.0
Clarens,Arson,7.0
Clarens,Malicious damage to property,120.0
Clarens,Commercial crime,95.0
Clarens,Drug-related crime,534.0
Clarens,Driving under the influence of alcohol or drugs,281.0
Clarens,Illegal possession of firearms and ammunition,23.0
Clarens,Carjacking,3.0
Clarens,Truck hijacking,1.0
Clarens,Robbery of cash in transit,0.0
Clarens,Bank robbery,0.0
Clarens,Robbery at residential premises,12.0
Clarens,Robbery at non-residential premises,9.0
Clarens,Attempted sexual offences,7.0
Clarens,Contact sexual offences,3.0
Clarens,Sexual offences detected as a result of police action,16.0
Clarens,Sexual offences,93.0
Clarens,TRIO crime,24.0
Clarens,Contact crime (Crimes against the person),743.0
Clarens,Contact-related crime,127.0
Clarens,Property-related crime,763.0
Clarens,Other serious crime,406.0
Clarens,Crime detected as a result of police action,854.0
Clarens,17 Community reported serious crime,2039.0
Clocolan,Murder,51.0
Clocolan,Attempted murder,30.0
Clocolan,Robbery with aggravating circumstances,99.0
Clocolan,Common robbery,40.0
Clocolan,Rape,160.0
Clocolan,Sexual assault,21.0
Clocolan,Kidnapping,9.0
Clocolan,Assault with the intent to inflict grievous bodily harm,685.0
Clocolan,Common assault,332.0
Clocolan,Burglary at non-residential premises,158.0
Clocolan,Burglary at residential premises,446.0
Clocolan,Stock-theft,479.0
Clocolan,Shoplifting,17.0
Clocolan,Theft of motor vehicle and motorcycle,63.0
Clocolan,Theft out of or from motor vehicle,56.0
Clocolan,All theft not mentioned elsewhere,491.0
Clocolan,Arson,4.0
Clocolan,Malicious damage to property,198.0
Clocolan,Commercial crime,151.0
Clocolan,Drug-related crime,637.0
Clocolan,Driving under the influence of alcohol or drugs,127.0
Clocolan,Illegal possession of firearms and ammunition,16.0
Clocolan,Carjacking,2.0
Clocolan,Truck hijacking,2.0
Clocolan,Robbery of cash in transit,0.0
Clocolan,Bank robbery,0.0
Clocolan,Robbery at residential premises,26.0
Clocolan,Robbery at non-residential premises,42.0
Clocolan,Attempted sexual offences,5.0
Clocolan,Contact sexual offences,1.0
Clocolan,Sexual offences detected as a result of police action,2.0
Clocolan,Sexual offences,187.0
Clocolan,TRIO crime,70.0
Clocolan,Contact crime (Crimes against the person),1424.0
Clocolan,Contact-related crime,202.0
Clocolan,Property-related crime,1202.0
Clocolan,Other serious crime,659.0
Clocolan,Crime detected as a result of police action,782.0
Clocolan,17 Community reported serious crime,3487.0
Excelsior,Murder,12.0
Excelsior,Attempted murder,3.0
Excelsior,Robbery with aggravating circumstances,16.0
Excelsior,Common robbery,8.0
Excelsior,Rape,55.0
Excelsior,Sexual assault,22.0
Excelsior,Kidnapping,0.0
Excelsior,Assault with the intent to inflict grievous bodily harm,187.0
Excelsior,Common assault,214.0
Excelsior,Burglary at non-residential premises,109.0
Excelsior,Burglary at residential premises,116.0
Excelsior,Stock-theft,148.0
Excelsior,Shoplifting,4.0
Excelsior,Theft of motor vehicle and motorcycle,7.0
Excelsior,Theft out of or from motor vehicle,18.0
Excelsior,All theft not mentioned elsewhere,125.0
Excelsior,Arson,1.0
Excelsior,Malicious damage to property,66.0
Excelsior,Commercial crime,25.0
Excelsior,Drug-related crime,166.0
Excelsior,Driving under the influence of alcohol or drugs,12.0
Excelsior,Illegal possession of firearms and ammunition,7.0
Excelsior,Carjacking,0.0
Excelsior,Truck hijacking,0.0
Excelsior,Robbery of cash in transit,0.0
Excelsior,Bank robbery,0.0
Excelsior,Robbery at residential premises,5.0
Excelsior,Robbery at non-residential premises,6.0
Excelsior,Attempted sexual offences,6.0
Excelsior,Contact sexual offences,4.0
Excelsior,Sexual offences detected as a result of police action,3.0
Excelsior,Sexual offences,87.0
Excelsior,TRIO crime,11.0
Excelsior,Contact crime (Crimes against the person),527.0
Excelsior,Contact-related crime,67.0
Excelsior,Property-related crime,398.0
Excelsior,Other serious crime,154.0
Excelsior,Crime detected as a result of police action,188.0
Excelsior,17 Community reported serious crime,1146.0
Ficksburg,Murder,181.0
Ficksburg,Attempted murder,100.0
Ficksburg,Robbery with aggravating circumstances,632.0
Ficksburg,Common robbery,244.0
Ficksburg,Rape,464.0
Ficksburg,Sexual assault,64.0
Ficksburg,Kidnapping,45.0
Ficksburg,Assault with the intent to inflict grievous bodily harm,2044.0
Ficksburg,Common assault,2372.0
Ficksburg,Burglary at non-residential premises,941.0
Ficksburg,Burglary at residential premises,2069.0
Ficksburg,Stock-theft,777.0
Ficksburg,Shoplifting,736.0
Ficksburg,Theft of motor vehicle and motorcycle,136.0
Ficksburg,Theft out of or from motor vehicle,672.0
Ficksburg,All theft not mentioned elsewhere,2603.0
Ficksburg,Arson,26.0
Ficksburg,Malicious damage to property,1430.0
Ficksburg,Commercial crime,731.0
Ficksburg,Drug-related crime,1309.0
Ficksburg,Driving under the influence of alcohol or drugs,570.0
Ficksburg,Illegal possession of firearms and ammunition,119.0
Ficksburg,Carjacking,18.0
Ficksburg,Truck hijacking,2.0
Ficksburg,Robbery of cash in transit,1.0
Ficksburg,Bank robbery,0.0
Ficksburg,Robbery at residential premises,120.0
Ficksburg,Robbery at non-residential premises,165.0
Ficksburg,Attempted sexual offences,21.0
Ficksburg,Contact sexual offences,18.0
Ficksburg,Sexual offences detected as a result of police action,3.0
Ficksburg,Sexual offences,567.0
Ficksburg,TRIO crime,303.0
Ficksburg,Contact crime (Crimes against the person),6140.0
Ficksburg,Contact-related crime,1456.0
Ficksburg,Property-related crime,4595.0
Ficksburg,Other serious crime,4070.0
Ficksburg,Crime detected as a result of police action,2001.0
Ficksburg,17 Community reported serious crime,16261.0
Fouriesburg,Murder,35.0
Fouriesburg,Attempted murder,13.0
Fouriesburg,Robbery with aggravating circumstances,70.0
Fouriesburg,Common robbery,21.0
Fouriesburg,Rape,165.0
Fouriesburg,Sexual assault,13.0
Fouriesburg,Kidnapping,17.0
Fouriesburg,Assault with the intent to inflict grievous bodily harm,607.0
Fouriesburg,Common assault,337.0
Fouriesburg,Burglary at non-residential premises,236.0
Fouriesburg,Burglary at residential premises,406.0
Fouriesburg,Stock-theft,590.0
Fouriesburg,Shoplifting,3.0
Fouriesburg,Theft of motor vehicle and motorcycle,42.0
Fouriesburg,Theft out of or from motor vehicle,71.0
Fouriesburg,All theft not mentioned elsewhere,527.0
Fouriesburg,Arson,3.0
Fouriesburg,Malicious damage to property,264.0
Fouriesburg,Commercial crime,130.0
Fouriesburg,Drug-related crime,946.0
Fouriesburg,Driving under the influence of alcohol or drugs,350.0
Fouriesburg,Illegal possession of firearms and ammunition,31.0
Fouriesburg,Carjacking,11.0
Fouriesburg,Truck hijacking,1.0
Fouriesburg,Robbery of cash in transit,0.0
Fouriesburg,Bank robbery,0.0
Fouriesburg,Robbery at residential premises,13.0
Fouriesburg,Robbery at non-residential premises,31.0
Fouriesburg,Attempted sexual offences,10.0
Fouriesburg,Contact sexual offences,12.0
Fouriesburg,Sexual offences detected as a result of police action,1.0
Fouriesburg,Sexual offences,200.0
Fouriesburg,TRIO crime,55.0
Fouriesburg,Contact crime (Crimes against the person),1283.0
Fouriesburg,Contact-related crime,267.0
Fouriesburg,Property-related crime,1345.0
Fouriesburg,Other serious crime,660.0
Fouriesburg,Crime detected as a result of police action,1328.0
Fouriesburg,17 Community reported serious crime,3555.0
Harrismith,Murder,226.0
Harrismith,Attempted murder,124.0
Harrismith,Robbery with aggravating circumstances,1174.0
Harrismith,Common robbery,300.0
Harrismith,Rape,498.0
Harrismith,Sexual assault,44.0
Harrismith,Kidnapping,69.0
Harrismith,Assault with the intent to inflict grievous bodily harm,2670.0
Harrismith,Common assault,2061.0
Harrismith,Burglary at non-residential premises,2044.0
Harrismith,Burglary at residential premises,3951.0
Harrismith,Stock-theft,1528.0
Harrismith,Shoplifting,812.0
Harrismith,Theft of motor vehicle and motorcycle,246.0
Harrismith,Theft out of or from motor vehicle,1573.0
Harrismith,All theft not mentioned elsewhere,4360.0
Harrismith,Arson,40.0
Harrismith,Malicious damage to property,1666.0
Harrismith,Commercial crime,900.0
Harrismith,Drug-related crime,1467.0
Harrismith,Driving under the influence of alcohol or drugs,934.0
Harrismith,Illegal possession of firearms and ammunition,171.0
Harrismith,Carjacking,54.0
Harrismith,Truck hijacking,63.0
Harrismith,Robbery of cash in transit,1.0
Harrismith,Bank robbery,0.0
Harrismith,Robbery at residential premises,156.0
Harrismith,Robbery at non-residential premises,247.0
Harrismith,Attempted sexual offences,48.0
Harrismith,Contact sexual offences,21.0
Harrismith,Sexual offences detected as a result of police action,527.0
Harrismith,Sexual offences,611.0
Harrismith,TRIO crime,457.0
Harrismith,Contact crime (Crimes against the person),7166.0
Harrismith,Contact-related crime,1706.0
Harrismith,Property-related crime,9342.0
Harrismith,Other serious crime,6072.0
Harrismith,Crime detected as a result of police action,3099.0
Harrismith,17 Community reported serious crime,24286.0
Hobhouse,Murder,24.0
Hobhouse,Attempted murder,14.0
Hobhouse,Robbery with aggravating circumstances,28.0
Hobhouse,Common robbery,6.0
Hobhouse,Rape,62.0
Hobhouse,Sexual assault,3.0
Hobhouse,Kidnapping,1.0
Hobhouse,Assault with the intent to inflict grievous bodily harm,198.0
Hobhouse,Common assault,62.0
Hobhouse,Burglary at non-residential premises,55.0
Hobhouse,Burglary at residential premises,143.0
Hobhouse,Stock-theft,343.0
Hobhouse,Shoplifting,1.0
Hobhouse,Theft of motor vehicle and motorcycle,17.0
Hobhouse,Theft out of or from motor vehicle,12.0
Hobhouse,All theft not mentioned elsewhere,152.0
Hobhouse,Arson,4.0
Hobhouse,Malicious damage to property,57.0
Hobhouse,Commercial crime,11.0
Hobhouse,Drug-related crime,120.0
Hobhouse,Driving under the influence of alcohol or drugs,2.0
Hobhouse,Illegal possession of firearms and ammunition,11.0
Hobhouse,Carjacking,0.0
Hobhouse,Truck hijacking,0.0
Hobhouse,Robbery of cash in transit,0.0
Hobhouse,Bank robbery,0.0
Hobhouse,Robbery at residential premises,4.0
Hobhouse,Robbery at non-residential premises,11.0
Hobhouse,Attempted sexual offences,8.0
Hobhouse,Contact sexual offences,0.0
Hobhouse,Sexual offences detected as a result of police action,2.0
Hobhouse,Sexual offences,73.0
Hobhouse,TRIO crime,15.0
Hobhouse,Contact crime (Crimes against the person),405.0
Hobhouse,Contact-related crime,61.0
Hobhouse,Property-related crime,570.0
Hobhouse,Other serious crime,164.0
Hobhouse,Crime detected as a result of police action,135.0
Hobhouse,17 Community reported serious crime,1200.0
Kestell,Murder,46.0
Kestell,Attempted murder,29.0
Kestell,Robbery with aggravating circumstances,105.0
Kestell,Common robbery,36.0
Kestell,Rape,66.0
Kestell,Sexual assault,23.0
Kestell,Kidnapping,11.0
Kestell,Assault with the intent to inflict grievous bodily harm,419.0
Kestell,Common assault,287.0
Kestell,Burglary at non-residential premises,177.0
Kestell,Burglary at residential premises,486.0
Kestell,Stock-theft,452.0
Kestell,Shoplifting,0.0
Kestell,Theft of motor vehicle and motorcycle,43.0
Kestell,Theft out of or from motor vehicle,120.0
Kestell,All theft not mentioned elsewhere,465.0
Kestell,Arson,3.0
Kestell,Malicious damage to property,208.0
Kestell,Commercial crime,61.0
Kestell,Drug-related crime,146.0
Kestell,Driving under the influence of alcohol or drugs,67.0
Kestell,Illegal possession of firearms and ammunition,18.0
Kestell,Carjacking,8.0
Kestell,Truck hijacking,7.0
Kestell,Robbery of cash in transit,3.0
Kestell,Bank robbery,0.0
Kestell,Robbery at residential premises,18.0
Kestell,Robbery at non-residential premises,35.0
Kestell,Attempted sexual offences,5.0
Kestell,Contact sexual offences,4.0
Kestell,Sexual offences detected as a result of police action,1.0
Kestell,Sexual offences,98.0
Kestell,TRIO crime,61.0
Kestell,Contact crime (Crimes against the person),1020.0
Kestell,Contact-related crime,211.0
Kestell,Property-related crime,1278.0
Kestell,Other serious crime,526.0
Kestell,Crime detected as a result of police action,232.0
Kestell,17 Community reported serious crime,3035.0
Kommissiepoort,Murder,3.0
Kommissiepoort,Attempted murder,1.0
Kommissiepoort,Robbery with aggravating circumstances,6.0
Kommissiepoort,Common robbery,1.0
Kommissiepoort,Rape,9.0
Kommissiepoort,Sexual assault,1.0
Kommissiepoort,Kidnapping,0.0
Kommissiepoort,Assault with the intent to inflict grievous bodily harm,38.0
Kommissiepoort,Common assault,31.0
Kommissiepoort,Burglary at non-residential premises,7.0
Kommissiepoort,Burglary at residential premises,48.0
Kommissiepoort,Stock-theft,157.0
Kommissiepoort,Shoplifting,0.0
Kommissiepoort,Theft of motor vehicle and motorcycle,8.0
Kommissiepoort,Theft out of or from motor vehicle,2.0
Kommissiepoort,All theft not mentioned elsewhere,59.0
Kommissiepoort,Arson,2.0
Kommissiepoort,Malicious damage to property,19.0
Kommissiepoort,Commercial crime,3.0
Kommissiepoort,Drug-related crime,52.0
Kommissiepoort,Driving under the influence of alcohol or drugs,17.0
Kommissiepoort,Illegal possession of firearms and ammunition,0.0
Kommissiepoort,Carjacking,0.0
Kommissiepoort,Truck hijacking,0.0
Kommissiepoort,Robbery of cash in transit,0.0
Kommissiepoort,Bank robbery,0.0
Kommissiepoort,Robbery at residential premises,5.0
Kommissiepoort,Robbery at non-residential premises,0.0
Kommissiepoort,Attempted sexual offences,2.0
Kommissiepoort,Contact sexual offences,0.0
Kommissiepoort,Sexual offences detected as a result of police action,2.0
Kommissiepoort,Sexual offences,12.0
Kommissiepoort,TRIO crime,5.0
Kommissiepoort,Contact crime (Crimes against the person),92.0
Kommissiepoort,Contact-related crime,21.0
Kommissiepoort,Property-related crime,222.0
Kommissiepoort,Other serious crime,62.0
Kommissiepoort,Crime detected as a result of police action,71.0
